Departamento,Código Divipola Departamento,Municipio,Código Divipola Municipio,Programa,Año de Asignacion,Estado,No.SFV Asignados,Valor Asignado
VICHADA,99,LA PRIMAVERA,99524,Convocatoria,2022,Asignados,40,2570400000
VICHADA,99,SANTA ROSALIA,99624,Convocatoria,2022,Asignados,21,1349460000
VICHADA,99,SANTA ROSALIA,99624,Convocatoria,2023,Asignados,4,298166400
VICHADA,99,CUMARIBO,99773,Convocatoria,2023,Asignados,79,5888786400
GUAVIARE,95,SAN JOSE DEL GUAVIARE,95001,Compromiso,2023,Asignados,80,6496000000
GUAVIARE,95,SAN JOSE DEL GUAVIARE,95001,Convocatoria,2023,Asignados,77,6252400000
GUAVIARE,95,SAN JOSE DEL GUAVIARE,95001,Convocatoria,2024,Asignados,3,273000000
GUAVIARE,95,CALAMAR,95015,Convocatoria,2023,Asignados,40,3248000000
GUAVIARE,95,CALAMAR,95015,Convocatoria,2024,Asignados,5,455000000
AMAZONAS,91,LA CHORRERA,91405,Convocatoria,2023,Asignados,100,10440000000
AMAZONAS,91,LA CHORRERA,91405,Convocatoria,2024,Asignados,13,1521000000
PUTUMAYO,86,MOCOA,86001,Sentencias judiciales,2022,Asignados,5,350000000
PUTUMAYO,86,MOCOA,86001,Sentencias judiciales,2023,Asignados,1,96580000
PUTUMAYO,86,MOCOA,86001,Sentencias judiciales,2024,Asignados,2,185845000
PUTUMAYO,86,ORITO,86320,Convocatoria,2024,Asignados,29,2639000000
PUTUMAYO,86,SAN MIGUEL,68686,Convocatoria,2023,Asignados,34,2760800000
PUTUMAYO,86,SAN MIGUEL,68686,Convocatoria,2024,Asignados,2,182000000
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Convocatoria,2023,Asignados,40,3248000000
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Sentencias judiciales,2024,Asignados,1,91000000
CASANARE,85,AGUAZUL,85010,Convocatoria,2023,Asignados,22,1786400000
CASANARE,85,CHAMEZA,85015,Convocatoria,2023,Asignados,40,3248000000
CASANARE,85,NUNCHIA,85225,Convocatoria,2023,Asignados,17,1380400000
CASANARE,85,RECETOR,85279,Convocatoria,2023,Asignados,17,1380400000
CASANARE,85,TAURAMENA,85410,Convocatoria,2023,Asignados,18,1461600000
ARAUCA,81,ARAUQUITA,81065,Convocatoria,2024,Asignados,50,1445352000
ARAUCA,81,ARAUQUITA,81065,ETCR,2022,Asignados,177,15930000000
ARAUCA,81,FORTUL,81300,Convocatoria,2022,Asignados,50,3213000000
ARAUCA,81,FORTUL,81300,Convocatoria,2023,Asignados,30,2236248000
ARAUCA,81,TAME,81794,Convocatoria,2022,Asignados,51,3277260000
ARAUCA,81,TAME,81794,Convocatoria,2023,Asignados,29,2161706400
VALLE DEL CAUCA,76,CALI,76001,Sentencias judiciales,2022,Asignados,13,910000000
VALLE DEL CAUCA,76,CALI,76001,Sentencias judiciales,2023,Asignados,47,4539375001
VALLE DEL CAUCA,76,CALI,76001,Sentencias judiciales,2024,Asignados,1,104842000
VALLE DEL CAUCA,76,BUENAVENTURA,76109,Convocatoria,2024,Asignados,108,10184863457
VALLE DEL CAUCA,76,DAGUA,76233,Convocatoria,2023,Asignados,20,1624000000
VALLE DEL CAUCA,76,PALMIRA,76520,Sentencias judiciales,2023,Asignados,1,86870000
VALLE DEL CAUCA,76,PRADERA,76563,Sentencias judiciales,2023,Asignados,1,96318000
VALLE DEL CAUCA,76,ROLDANILLO,76622,Sentencias judiciales,2023,Asignados,1,87570000
VALLE DEL CAUCA,76,TULUA,76834,Sentencias judiciales,2023,Asignados,1,93973920
TOLIMA,73,IBAGUE,73001,Sentencias judiciales,2022,Asignados,15,1138575000
TOLIMA,73,IBAGUE,73001,Sentencias judiciales,2023,Asignados,6,522299640
TOLIMA,73,ANZOATEGUI,73043,Sentencias judiciales,2022,Asignados,1,70000000
TOLIMA,73,ATACO,73067,Convocatoria,2023,Asignados,32,2598400000
TOLIMA,73,CHAPARRAL,73168,Convocatoria,2023,Asignados,37,3004400000
TOLIMA,73,FRESNO,73283,Sentencias judiciales,2023,Asignados,2,171695320
TOLIMA,73,HERVEO,73347,Sentencias judiciales,2023,Asignados,1,95500000
TOLIMA,73,LIBANO,73411,Sentencias judiciales,2023,Asignados,1,100700000
TOLIMA,73,NATAGAIMA,73483,Convocatoria,2023,Asignados,30,2436000000
TOLIMA,73,PLANADAS,73555,Convocatoria,2023,Asignados,32,2598400000
TOLIMA,73,RIOBLANCO,73616,Convocatoria,2023,Asignados,22,1786400000
TOLIMA,73,SANTA ISABEL,73686,Sentencias judiciales,2022,Asignados,1,70000000
TOLIMA,73,SANTA ISABEL,73686,Sentencias judiciales,2023,Asignados,1,97450000
SUCRE,70,SINCELEJO,70001,Sentencias judiciales,2023,Asignados,4,349932800
SUCRE,70,MORROA,70473,Convocatoria,2022,Asignados,26,1670760000
SUCRE,70,MORROA,70473,Convocatoria,2023,Asignados,10,745416000
SUCRE,70,MORROA,70473,Convocatoria,2024,Asignados,3,250614000
SUCRE,70,MORROA,70473,Sentencias judiciales,2023,Asignados,9,782684000
SUCRE,70,MORROA,70473,Sentencias judiciales,2024,Asignados,4,419414607
SUCRE,70,PALMITO,70523,Convocatoria,2022,Asignados,32,2056320000
SUCRE,70,PALMITO,70523,Convocatoria,2023,Asignados,8,596332800
SUCRE,70,SAMPUES,70670,Convocatoria,2022,Asignados,14,899640000
SUCRE,70,SAMPUES,70670,Convocatoria,2023,Asignados,13,969040800
SUCRE,70,SAMPUES,70670,Convocatoria,2024,Asignados,3,250614000
SUCRE,70,SAN ONOFRE,70713,Convocatoria,2022,Asignados,29,1863540000
SUCRE,70,SAN ONOFRE,70713,Convocatoria,2023,Asignados,8,596332800
SUCRE,70,SAN ONOFRE,70713,Convocatoria,2024,Asignados,2,167076000
